"","Player","Age","W","SO","BB","ERA","CG","SHO","IPouts","IP"
"1","Walter Johnson",19,5,71,20,1.88,11,2,331,110.3
"2","Walter Johnson",20,14,160,53,1.65,23,6,769,256.3
"3","Walter Johnson",21,13,164,84,2.22,27,4,889,296.3
"4","Walter Johnson",22,25,313,76,1.36,38,8,1110,370
"5","Walter Johnson",23,25,207,70,1.9,36,6,967,322.3
"6","Walter Johnson",24,33,303,76,1.39,34,7,1107,369
"7","Walter Johnson",25,36,243,38,1.14,29,11,1038,346
"8","Walter Johnson",26,28,225,74,1.72,33,9,1115,371.7
"9","Walter Johnson",27,27,203,56,1.55,35,7,1010,336.7
"10","Walter Johnson",28,25,228,82,1.9,36,3,1109,369.7
"11","Walter Johnson",29,23,188,68,2.21,30,8,978,326
"12","Walter Johnson",30,23,162,70,1.27,29,8,978,326
"13","Walter Johnson",31,20,147,51,1.49,27,7,871,290.3
"14","Walter Johnson",32,8,78,27,3.13,12,4,431,143.7
"15","Walter Johnson",33,17,143,92,3.51,25,1,792,264
"16","Walter Johnson",34,15,105,99,2.99,23,4,840,280
"17","Walter Johnson",35,17,130,73,3.48,18,3,784,261.3
"18","Walter Johnson",36,23,158,77,2.72,20,6,833,277.7
"19","Walter Johnson",37,20,108,78,3.07,16,3,687,229
"20","Walter Johnson",38,15,125,73,3.63,22,2,782,260.7
"21","Walter Johnson",39,5,48,26,5.1,7,1,323,107.7
"22","Sandy Koufax",19,2,30,28,3.02,2,2,125,41.7
"23","Sandy Koufax",20,2,30,29,4.91,0,0,176,58.7
"24","Sandy Koufax",21,5,122,51,3.88,2,0,313,104.3
"25","Sandy Koufax",22,11,131,105,4.48,5,0,476,158.7
"26","Bob Gibson",23,3,48,39,3.33,2,1,227,75.7
"27","Sandy Koufax",23,8,173,92,4.05,6,1,460,153.3
"28","Bob Gibson",24,3,69,48,5.61,2,0,260,86.7
"29","Sandy Koufax",24,8,197,100,3.91,7,2,525,175
"30","Bob Gibson",25,13,166,119,3.24,10,2,634,211.3
"31","Sandy Koufax",25,18,269,96,3.52,15,2,767,255.7
"32","Bob Gibson",26,15,208,95,2.85,15,5,701,233.7
"33","Sandy Koufax",26,14,216,57,2.54,11,2,553,184.3
"34","Bob Gibson",27,18,204,96,3.39,14,2,764,254.7
"35","Sandy Koufax",27,25,306,58,1.88,20,11,933,311
"36","Bob Gibson",28,19,245,86,3.01,17,2,862,287.3
"37","Sandy Koufax",28,19,223,53,1.74,15,7,669,223
"38","Bob Gibson",29,20,270,103,3.07,20,6,897,299
"39","Sandy Koufax",29,26,382,71,2.04,27,8,1007,335.7
"40","Bob Gibson",30,21,225,78,2.44,20,5,841,280.3
