"","Player","Age","W","SO","BB","ERA","CG","SHO","IPouts","IP"
"1","Walter Johnson",36,1,20,11,3,2,0,72,24
"2","Walter Johnson",37,2,15,4,2.08,3,1,78,26
"3","Sandy Koufax",23,0,7,1,1,0,0,27,9
"4","Sandy Koufax",27,2,23,3,1.5,2,0,54,18
"5","Sandy Koufax",29,2,29,5,0.38,2,2,72,24
"6","Sandy Koufax",30,0,2,2,1.5,0,0,18,6
"7","Tom Seaver",24,1,2,3,6.43,0,0,21,7
"8","Tom Seaver",24,1,9,3,3,1,0,45,15
"9","Tom Seaver",28,1,17,5,1.62,1,0,50,16.7
"10","Tom Seaver",28,0,18,3,2.4,0,0,45,15
"11","Tom Seaver",34,0,5,2,2.25,0,0,24,8
"12","Greg Maddux",23,0,5,4,13.5,0,0,22,7.3
"13","Greg Maddux",27,1,11,7,4.97,0,0,38,12.7
"14","Randy Johnson",31,0,13,2,2.35,0,0,46,15.3
"15","Randy Johnson",31,2,16,6,2.7,0,0,30,10
"16","Greg Maddux",29,1,4,2,1.12,0,0,24,8
"17","Greg Maddux",29,1,7,2,4.5,0,0,42,14
"18","Greg Maddux",29,1,8,3,2.25,1,0,48,16
"19","Greg Maddux",30,1,10,2,2.51,0,0,43,14.3
"20","Greg Maddux",30,1,7,0,0,0,0,21,7
"21","Greg Maddux",30,1,5,1,1.72,0,0,47,15.7
"22","Randy Johnson",33,0,16,6,5.54,1,0,39,13
"23","Greg Maddux",31,0,16,4,1.38,0,0,39,13
"24","Greg Maddux",31,1,6,1,1,1,0,27,9
"25","Randy Johnson",34,0,17,2,1.93,0,0,42,14
"26","Greg Maddux",32,0,4,3,3,0,0,18,6
"27","Greg Maddux",32,1,4,0,2.57,0,0,21,7
"28","Pedro Martinez",26,1,8,0,3.86,0,0,21,7
"29","Randy Johnson",35,0,11,3,7.56,0,0,25,8.3
"30","Greg Maddux",33,1,7,1,1.93,0,0,42,14
"31","Greg Maddux",33,0,5,5,2.57,0,0,21,7
"32","Greg Maddux",33,0,5,3,2.57,0,0,21,7
"33","Pedro Martinez",27,1,12,2,0,0,0,21,7
"34","Pedro Martinez",27,1,11,4,0,0,0,30,10
"35","Greg Maddux",34,0,2,3,11.25,0,0,12,4
"36","Randy Johnson",37,2,19,3,1.12,1,1,48,16
"37","Randy Johnson",37,0,9,2,3.38,0,0,24,8
"38","Randy Johnson",37,3,19,3,1.04,1,1,52,17.3
