Player,Game,Date,PA,AB,HR,SB,CS,BA,OBP,SLG
Jose Canseco,1,Apr 4,4,4,1,1,0,0.25,0.25,1
Jose Canseco,2,Apr 5,4,3,0,0,0,0.286,0.375,0.857
Jose Canseco,3,Apr 6,4,3,0,1,0,0.2,0.333,0.6
Jose Canseco,4,Apr 8,5,5,1,0,0,0.267,0.353,0.733
Jose Canseco,5,Apr 9,5,5,0,0,0,0.3,0.364,0.65
Jose Canseco,6,Apr 10,5,5,1,0,0,0.28,0.333,0.68
Jose Canseco,7,Apr 12,4,4,0,0,0,0.276,0.323,0.621
Jose Canseco,8,Apr 13,5,5,1,1,0,0.265,0.306,0.647
Jose Canseco,9,Apr 14,4,3,1,0,0,0.27,0.3,0.703
Jose Canseco,10,Apr 15,5,5,0,0,0,0.238,0.267,0.619
Jose Canseco,11,Apr 16,4,4,0,0,0,0.217,0.245,0.565
Jose Canseco,12,Apr 17,5,4,0,0,0,0.24,0.278,0.58
Jose Canseco,13,Apr 18,5,3,0,0,0,0.245,0.305,0.566
Jose Canseco,14,Apr 19,4,3,0,0,0,0.232,0.302,0.536
Jose Canseco,15,Apr 20,5,1,0,0,0,0.246,0.353,0.544
Jose Canseco,16,Apr 21,6,5,1,3,1,0.274,0.378,0.597
Jose Canseco,17,Apr 22,5,4,0,1,0,0.273,0.38,0.576
Jose Canseco,18,Apr 23,5,4,0,0,0,0.271,0.381,0.557
Jose Canseco,19,Apr 24,4,4,1,0,0,0.27,0.375,0.581
Jose Canseco,20,Apr 26,5,5,0,1,0,0.291,0.387,0.595
Jose Canseco,21,Apr 27,5,4,0,0,0,0.277,0.367,0.566
Jose Canseco,22,Apr 28,5,3,0,0,0,0.267,0.369,0.547
Jose Canseco,23,Apr 30,5,3,1,0,0,0.27,0.38,0.573
Jose Canseco,24,May 1,5,5,0,0,1,0.277,0.381,0.564
Jose Canseco,25,May 2,5,3,0,0,0,0.278,0.39,0.557
Jose Canseco,26,May 3,5,5,0,1,0,0.275,0.382,0.539
Jose Canseco,27,May 4,4,3,0,0,1,0.276,0.386,0.533
Jose Canseco,28,May 5,5,4,0,2,0,0.294,0.402,0.55
Jose Canseco,29,May 7,5,4,0,0,0,0.301,0.409,0.549
Jose Canseco,30,May 8,4,4,0,1,0,0.308,0.411,0.547
Jose Canseco,31,May 9,4,2,1,0,0,0.311,0.421,0.571
Jose Canseco,32,May 10,5,4,0,0,0,0.301,0.413,0.553
Jose Canseco,33,May 11,5,4,0,0,1,0.315,0.426,0.559
Jose Canseco,34,May 13,4,4,0,0,1,0.328,0.434,0.565
Jose Canseco,35,May 14,5,4,0,0,0,0.319,0.427,0.548
Jose Canseco,36,May 15,4,4,1,0,0,0.317,0.423,0.561
Jose Canseco,37,May 16,4,2,0,1,0,0.319,0.43,0.56
Jose Canseco,38,May 17,5,4,0,1,0,0.317,0.429,0.552
Jose Canseco,39,May 18,4,4,0,0,0,0.309,0.42,0.537
Jose Canseco,40,May 20,6,5,0,1,0,0.299,0.412,0.519
Jose Canseco,41,May 21,4,3,0,0,0,0.293,0.408,0.51
Jose Canseco,42,May 22,3,3,0,0,0,0.288,0.402,0.5
