player,fip,era,seasons,ip,so,bb,so9,bb9,whip,era_plus,war,all_star,mvp,cy_young,active,peak_war
Greg Maddux,3.26,3.16,23,5008.1,3371,999,6.1,1.8,1.143,132,106.6,8,0,4,no,56.3
Randy Johnson,3.19,3.29,22,4135.1,4875,1497,10.6,3.3,1.171,135,101.1,10,0,5,no,61.5
Pedro Martinez,2.91,2.93,18,2827.1,3154,760,10,2.4,1.054,154,83.9,8,0,3,no,58.2
Walter Johnson,2.38,2.17,21,5914.1,3509,1363,5.3,2.1,1.061,147,164.9,0,2,0,no,89.4
Christy Matthewson,2.26,2.13,17,4788.2,2507,848,4.7,1.6,1.058,136,106.6,0,0,0,no,70.2
Max Scherzer,3.1,3.11,15,2682,3193,701,10.7,2.4,1.074,135,71.6,8,0,3,yes,47.4
Sandy Koufax,2.69,2.76,12,2324.1,2396,817,9.3,3.2,1.106,131,48.9,7,1,3,no,46
Tom Seaver,3.04,2.86,20,4783,3640,1390,6.8,2.6,1.121,127,109.9,12,0,3,no,59.3
Bob Gibson,2.89,2.92,17,3884.1,3117,1336,7.2,3.1,1.188,127,89.2,9,1,2,no,61.2
Clayton Kershaw,2.76,2.48,15,2581,2807,629,9.8,2.2,1.001,157,75.9,9,1,3,yes,49.7
